diagnosis_code,ccsr_default,ccsr_1,ccsr_2,ccsr_3,ccsr_4,ccsr_5,ccsr_6,mapping_type,relationship
C163,NEO013,NEO013,,,,,,direct,
C164,NEO013,NEO013,,,,,,direct,
C166,NEO013,NEO013,,,,,,direct,
C168,NEO013,NEO013,,,,,,direct,
C169,NEO013,NEO013,,,,,,direct,
C170,NEO014,NEO014,,,,,,direct,
C171,NEO014,NEO014,,,,,,direct,
C172,NEO014,NEO014,,,,,,direct,
C178,NEO014,NEO014,,,,,,direct,
C179,NEO014,NEO014,,,,,,direct,
C180,NEO015,NEO015,,,,,,direct,
C181,NEO015,NEO015,,,,,,direct,
C182,NEO015,NEO015,,,,,,direct,
C183,NEO015,NEO015,,,,,,direct,
C184,NEO015,NEO015,,,,,,direct,
C185,NEO015,NEO015,,,,,,direct,
C186,NEO015,NEO015,,,,,,direct,
C187,NEO015,NEO015,,,,,,direct,
C188,NEO015,NEO015,,,,,,direct,
C189,NEO015,NEO015,,,,,,direct,
C209,NEO015,NEO015,,,,,,automatic,Parents
C210,NEO016,NEO016,,,,,,direct,
C211,NEO016,NEO016,,,,,,direct,
C218,NEO016,NEO016,,,,,,direct,
C220,NEO017,NEO017,,,,,,direct,
C221,NEO018,NEO018,,,,,,direct,
C223,NEO017,NEO017,,,,,,direct,
C224,NEO017,NEO017,,,,,,direct,
C227,NEO017,NEO017,,,,,,direct,
C229,NEO017,NEO017,,,,,,direct,
C239,NEO019,NEO019,,,,,,automatic,Parents
C240,NEO021,NEO021,,,,,,direct,
C241,NEO021,NEO021,,,,,,direct,
C248,NEO021,NEO021,,,,,,direct,
C249,NEO021,NEO021,,,,,,direct,
C250,NEO051,NEO051,,,,,,direct,
C251,NEO051,NEO051,,,,,,direct,
C252,NEO051,NEO051,,,,,,direct,
C253,NEO051,NEO051,,,,,,direct,
C254,NEO051,NEO051,,,,,,direct,
C258,NEO051,NEO051,,,,,,direct,
C259,NEO051,NEO051,,,,,,direct,
C260,NEO015,NEO015,,,,,,direct,
C269,NEO021,NEO021,,,,,,direct,
C300,NEO010,NEO010,,,,,,direct,
C310,NEO010,NEO010,,,,,,direct,
C318,NEO010,NEO010,,,,,,direct,
C319,NEO010,NEO010,,,,,,direct,
C320,NEO008,NEO008,,,,,,direct,
C321,NEO008,NEO008,,,,,,direct,
C328,NEO008,NEO008,,,,,,direct,
C329,NEO008,NEO008,,,,,,direct,
C339,NEO022,NEO022,,,,,,automatic,Parents
C340,NEO022,NEO022,,,,,,automatic,Children
C341,NEO022,NEO022,,,,,,automatic,Children
C342,NEO022,NEO022,,,,,,direct,
C343,NEO022,NEO022,,,,,,automatic,Children
C348,NEO022,NEO022,,,,,,automatic,Children
C349,NEO022,NEO022,,,,,,automatic,Children
C379,NEO052,NEO052,,,,,,automatic,Parents
C383,NEO011,NEO011,,,,,,direct,
C384,NEO022,NEO022,,,,,,direct,
C400,NEO023,NEO023,,,,,,automatic,Children
C401,NEO023,NEO023,,,,,,automatic,Children
C402,NEO023,NEO023,,,,,,automatic,Children
C410,NEO023,NEO023,,,,,,direct,
C412,NEO023,NEO023,,,,,,direct,
C414,NEO023,NEO023,,,,,,direct,
C419,NEO023,NEO023,,,,,,direct,
C432,NEO025,NEO025,,,,,,automatic,Children
C433,NEO025,NEO025,,,,,,automatic,Children
C434,NEO025,NEO025,,,,,,direct,
C435,NEO025,NEO025,,,,,,automatic,Children
C436,NEO025,NEO025,,,,,,automatic,Children
C437,NEO025,NEO025,,,,,,automatic,Children
C438,NEO025,NEO025,,,,,,direct,
C439,NEO025,NEO025,,,,,,direct,
C440,NEO028,NEO028,,,,,,semi-automatic,Close
C441,NEO028,NEO028,,,,,,semi-automatic,Close
C442,NEO028,NEO028,,,,,,semi-automatic,Close
C443,NEO028,NEO028,,,,,,semi-automatic,Close
C444,NEO028,NEO028,,,,,,semi-automatic,Close
C445,NEO028,NEO028,,,,,,semi-automatic,Close
C446,NEO028,NEO028,,,,,,semi-automatic,Close
C447,NEO028,NEO028,,,,,,semi-automatic,Close
C448,NEO028,NEO028,,,,,,semi-automatic,Close
C449,NEO028,NEO028,,,,,,semi-automatic,Close
C450,NEO067,NEO067,,,,,,direct,
C451,NEO067,NEO067,,,,,,direct,
C459,NEO067,NEO067,,,,,,direct,
C469,NEO024,NEO024,,,,,,direct,
C480,NEO021,NEO021,,,,,,direct,
C481,NEO020,NEO020,,,,,,direct,
C482,NEO020,NEO020,,,,,,direct,
C488,NEO020,NEO020,NEO021,,,,,direct,
C490,NEO024,NEO024,,,,,,direct,
C491,NEO024,NEO024,,,,,,automatic,Children
C492,NEO024,NEO024,,,,,,automatic,Children
C493,NEO024,NEO024,,,,,,direct,
C494,NEO024,NEO024,,,,,,direct,
C495,NEO024,NEO024,,,,,,direct,
C496,NEO024,NEO024,,,,,,direct,
C499,NEO024,NEO024,,,,,,direct,
C501,NEO030,NEO030,,,,,,automatic,Children
C502,NEO030,NEO030,,,,,,automatic,Children
C503,NEO030,NEO030,,,,,,automatic,Children
C504,NEO030,NEO030,,,,,,automatic,Children
C505,NEO030,NEO030,,,,,,automatic,Children
C508,NEO030,NEO030,,,,,,automatic,Children
C509,NEO030,NEO030,,,,,,automatic,Children
C510,NEO038,NEO038,,,,,,direct,
C518,NEO038,NEO038,,,,,,direct,
C519,NEO036,NEO036,,,,,,direct,
C529,NEO037,NEO037,,,,,,automatic,Parents
C539,NEO032,NEO032,,,,,,direct,
C549,NEO031,NEO031,,,,,,direct,
C559,NEO031,NEO031,,,,,,automatic,Parents
C569,NEO033,NEO033,,,,,,direct,
C570,NEO034,NEO034,,,,,,automatic,Children
C579,NEO038,NEO038,,,,,,direct,
C601,NEO041,NEO041,,,,,,direct,
C609,NEO041,NEO041,,,,,,direct,
C619,NEO039,NEO039,,,,,,automatic,Parents
C621,NEO040,NEO040,,,,,,automatic,Children
C629,NEO040,NEO040,,,,,,automatic,Children
C631,NEO042,NEO042,,,,,,automatic,Children
C649,NEO045,NEO045,,,,,,direct,
C659,NEO044,NEO044,,,,,,direct,
C669,NEO044,NEO044,,,,,,direct,
C679,NEO043,NEO043,,,,,,direct,
C680,NEO046,NEO046,,,,,,direct,
C693,NEO001,NEO001,,,,,,automatic,Children
C694,NEO001,NEO001,,,,,,automatic,Children
C695,NEO001,NEO001,,,,,,automatic,Children
C699,NEO001,NEO001,,,,,,automatic,Children
C700,NEO048,NEO048,,,,,,direct,
C710,NEO048,NEO048,,,,,,direct,
C711,NEO048,NEO048,,,,,,direct,
C712,NEO048,NEO048,,,,,,direct,
C713,NEO048,NEO048,,,,,,direct,
C714,NEO048,NEO048,,,,,,direct,
C716,NEO048,NEO048,,,,,,direct,
C717,NEO048,NEO048,,,,,,direct,
C718,NEO048,NEO048,,,,,,direct,
C719,NEO048,NEO048,,,,,,direct,
C729,NEO049,NEO049,,,,,,direct,
C739,NEO050,NEO050,,,,,,automatic,Parents
C740,NEO053,NEO053,,,,,,automatic,Children
C749,NEO056,NEO056,,,,,,automatic,Children
C762,NEO069,NEO069,,,,,,direct,
C770,NEO070,NEO070,,,,,,direct,
C772,NEO070,NEO070,,,,,,direct,
C773,NEO070,NEO070,,,,,,direct,
C774,NEO070,NEO070,,,,,,direct,
C775,NEO070,NEO070,,,,,,direct,
C778,NEO070,NEO070,,,,,,direct,
C779,NEO070,NEO070,,,,,,direct,
C780,NEO070,NEO070,,,,,,automatic,Children
C781,NEO070,NEO070,,,,,,direct,
C782,NEO070,NEO070,,,,,,direct,
C783,NEO070,NEO070,,,,,,automatic,Children
C784,NEO070,NEO070,,,,,,direct,
C785,NEO070,NEO070,,,,,,direct,
C786,NEO070,NEO070,,,,,,direct,
C787,NEO070,NEO070,,,,,,direct,
C788,NEO070,NEO070,,,,,,automatic,Children
C790,NEO070,NEO070,,,,,,automatic,Children
C791,NEO070,NEO070,,,,,,automatic,Children
C792,NEO070,NEO070,,,,,,direct,
C793,NEO070,NEO070,,,,,,automatic,Children
C794,NEO070,NEO070,,,,,,automatic,Children
C795,NEO070,NEO070,,,,,,automatic,Children
C796,NEO070,NEO070,,,,,,automatic,Children
C797,NEO070,NEO070,,,,,,automatic,Children
C798,NEO070,NEO070,,,,,,automatic,Children
C799,NEO070,NEO070,,,,,,direct,
C800,NEO071,NEO071,,,,,,direct,
C809,NEO071,NEO071,,,,,,automatic,Siblings
C810,NEO057,NEO057,,,,,,automatic,Children
C811,NEO057,NEO057,,,,,,automatic,Children
C812,NEO057,NEO057,,,,,,automatic,Children
C814,NEO057,NEO057,,,,,,automatic,Children
C817,NEO057,NEO057,,,,,,automatic,Children
C819,NEO057,NEO057,,,,,,automatic,Children
C820,NEO058,NEO058,,,,,,automatic,Children
C821,NEO058,NEO058,,,,,,automatic,Children
C822,NEO058,NEO058,,,,,,automatic,Children
C829,NEO058,NEO058,,,,,,automatic,Children
C830,NEO058,NEO058,,,,,,automatic,Children
C831,NEO058,NEO058,,,,,,automatic,Children
C833,NEO058,NEO058,,,,,,automatic,Children
C835,NEO058,NEO058,,,,,,automatic,Children
C837,NEO058,NEO058,,,,,,automatic,Children
C838,NEO058,NEO058,,,,,,automatic,Children
C839,NEO058,NEO058,,,,,,automatic,Children
C840,NEO058,NEO058,,,,,,automatic,Children
C841,NEO058,NEO058,,,,,,automatic,Children
C844,NEO058,NEO058,,,,,,automatic,Children
C845,NEO058,NEO058,,,,,,automatic,Cousins
C846,NEO058,NEO058,,,,,,automatic,Children
C847,NEO058,NEO058,,,,,,automatic,Children
C848,NEO058,NEO058,,,,,,automatic,Cousins
C849,NEO058,NEO058,,,,,,automatic,Children
C851,NEO058,NEO058,,,,,,automatic,Children
C852,NEO058,NEO058,,,,,,automatic,Children
C857,NEO058,NEO058,,,,,,automatic,Cousins
C859,NEO058,NEO058,,,,,,automatic,Children
C860,NEO058,NEO058,,,,,,direct,
C861,NEO058,NEO058,,,,,,direct,
C862,NEO058,NEO058,,,,,,direct,
C865,NEO058,NEO058,,,,,,direct,
C880,NEO058,NEO058,,,,,,direct,
C884,NEO058,NEO058,,,,,,direct,
C900,NEO065,NEO065,,,,,,automatic,Children
C901,NEO065,NEO065,,,,,,automatic,Children
C902,NEO065,NEO065,,,,,,automatic,Children
C903,NEO065,NEO065,,,,,,automatic,Children
C910,NEO059,NEO059,,,,,,automatic,Children
C911,NEO061,NEO061,,,,,,automatic,Children
C913,NEO064,NEO064,,,,,,automatic,Children
C914,NEO063,NEO063,,,,,,automatic,Children
C916,NEO064,NEO064,,,,,,automatic,Children
C917,NEO064,NEO064,,,,,,semi-automatic,Distant
C919,NEO064,NEO064,,,,,,automatic,Children
C920,NEO060,NEO060,,,,,,automatic,Children
C921,NEO062,NEO062,,,,,,automatic,Children
C922,NEO062,NEO062,,,,,,automatic,Children
C923,NEO024,NEO024,,,,,,automatic,Children
C924,NEO060,NEO060,,,,,,automatic,Children
C925,NEO060,NEO060,,,,,,automatic,Children
C927,NEO064,NEO064,,,,,,semi-automatic,Distant
C928,NEO060,NEO060,,,,,,semi-automatic,Distant
C929,NEO064,NEO064,,,,,,automatic,Children
C930,NEO060,NEO060,,,,,,automatic,Children
C931,NEO062,NEO062,,,,,,automatic,Children
C940,NEO060,NEO060,,,,,,automatic,Children
C946,NEO064,NEO064,,,,,,direct,
C950,NEO064,NEO064,,,,,,automatic,Children
C964,NEO024,NEO024,,,,,,direct,
C966,NEO058,NEO058,,,,,,direct,
C967,NEO058,NEO058,,,,,,semi-automatic,Close
D000,NEO002,NEO002,NEO007,,,,,semi-automatic,Close
D013,NEO016,NEO016,,,,,,direct,
D020,NEO008,NEO008,,,,,,direct,
D033,NEO025,NEO025,,,,,,automatic,Children
D034,NEO025,NEO025,,,,,,direct,
D035,NEO025,NEO025,,,,,,automatic,Children
D036,NEO025,NEO025,,,,,,automatic,Children
D037,NEO025,NEO025,,,,,,automatic,Children
D039,NEO025,NEO025,,,,,,direct,
D043,NEO028,NEO028,,,,,,automatic,Children
D047,NEO028,NEO028,,,,,,automatic,Children
D049,NEO028,NEO028,,,,,,direct,
D050,NEO030,NEO030,,,,,,automatic,Children
D051,NEO029,NEO029,,,,,,automatic,Children
D056,NEO030,NEO030,,,,,,semi-automatic,Distant
D059,NEO030,NEO030,,,,,,automatic,Children
D069,NEO032,NEO032,,,,,,direct,
D070,NEO035,NEO035,,,,,,direct,
D071,NEO036,NEO036,,,,,,direct,
D074,NEO041,NEO041,,,,,,direct,
D076,NEO042,NEO042,,,,,,automatic,Children
D090,NEO043,NEO043,,,,,,direct,
D091,NEO047,NEO047,,,,,,automatic,Children
D095,NEO043,NEO043,,,,,,semi-automatic,Close
D096,NEO044,NEO044,,,,,,manual,Close
D099,NEO071,NEO071,,,,,,direct,
D100,NEO073,NEO073,,,,,,direct,
D101,NEO073,NEO073,,,,,,direct,
D102,NEO073,NEO073,,,,,,direct,
D103,NEO073,NEO073,,,,,,automatic,Children
D104,NEO073,NEO073,,,,,,direct,
D105,NEO073,NEO073,,,,,,direct,
D106,NEO073,NEO073,,,,,,direct,
D107,NEO073,NEO073,,,,,,direct,
D109,NEO073,NEO073,,,,,,direct,
D110,NEO073,NEO073,,,,,,direct,
D117,NEO073,NEO073,,,,,,direct,
D119,NEO073,NEO073,,,,,,direct,
D120,NEO073,NEO073,,,,,,direct,
D121,NEO073,NEO073,,,,,,direct,
D122,NEO073,NEO073,,,,,,direct,
D123,NEO073,NEO073,,,,,,direct,
D124,NEO073,NEO073,,,,,,direct,
D125,NEO073,NEO073,,,,,,direct,
D126,NEO073,NEO073,,,,,,direct,
D128,NEO073,NEO073,,,,,,direct,
D129,NEO073,NEO073,,,,,,direct,
D130,NEO073,NEO073,,,,,,direct,
D131,NEO073,NEO073,,,,,,direct,
D132,NEO073,NEO073,,,,,,direct,
D133,NEO073,NEO073,,,,,,automatic,Children
D134,NEO073,NEO073,,,,,,direct,
D135,NEO073,NEO073,,,,,,direct,
D136,NEO073,NEO073,,,,,,direct,
D137,NEO073,NEO073,,,,,,direct,
D139,NEO073,NEO073,,,,,,direct,
D140,NEO073,NEO073,,,,,,direct,
D141,NEO073,NEO073,,,,,,direct,
D142,NEO073,NEO073,,,,,,direct,
D143,NEO073,NEO073,,,,,,automatic,Children
D150,NEO073,NEO073,,,,,,direct,
D151,NEO073,NEO073,,,,,,direct,
D152,NEO073,NEO073,,,,,,direct,
D159,NEO073,NEO073,,,,,,direct,
