diagnosis_code,ccsr_default,ccsr_1,ccsr_2,ccsr_3,ccsr_4,ccsr_5,ccsr_6,mapping_type,relationship
D728,BLD007,BLD007,,,,,,Automatic,Children
D708,BLD007,BLD007,,,,,,Direct,
D721,BLD007,BLD007,,,,,,Direct,
D71,BLD007,BLD007,,,,,,Direct,
D720,BLD007,BLD007,,,,,,Direct,
D860,BLD008,BLD008,,,,,,Direct,
D868,BLD008,BLD008,,,,,,Automatic,Children
D891,BLD008,BLD008,,,,,,Direct,
D809,BLD008,BLD008,,,,,,Direct,
D862,BLD008,BLD008,,,,,,Direct,
D803,BLD008,BLD008,,,,,,Direct,
D841,BLD008,BLD008,,,,,,Direct,
D863,BLD008,BLD008,,,,,,Direct,
D801,BLD008,BLD008,,,,,,Direct,
D869,BLD008,BLD008,,,,,,Direct,
D898,BLD008,BLD008,,,,,,Automatic,Children
D838,BLD008,BLD008,,,,,,Direct,
D861,BLD008,BLD008,,,,,,Direct,
D817,BLD008,BLD008,,,,,,Direct,
D820,BLD008,BLD008,,,,,,Direct,
D839,BLD008,BLD008,,,,,,Direct,
D899,BLD008,BLD008,,,,,,Direct,
D890,BLD008,BLD008,,,,,,Direct,
D893,BLD008,BLD008,,,,,,Direct,
D892,BLD008,BLD008,,,,,,Direct,
D748,BLD010,BLD010,,,,,,Direct,
D648,BLD010,BLD010,,,,,,Manual,Children
D733,BLD010,BLD010,,,,,,Direct,
D735,BLD010,BLD010,,,,,,Direct,
D732,BLD010,BLD010,,,,,,Direct,
D738,BLD010,BLD010,,,,,,Automatic,Siblings
D731,BLD010,BLD010,,,,,,Direct,
D739,BLD010,BLD010,,,,,,Direct,
D759,BLD010,BLD010,,,,,,Direct,
D7588,BLD010,BLD010,,,,,,Semi-automatic,Close
D749,BLD010,BLD010,,,,,,Direct,
D734,BLD010,BLD010,,,,,,Direct,
D751,BLD010,BLD010,,,,,,Direct,
D752,BLD010,BLD010,,,,,,Automatic,Siblings
D7581,BLD010,BLD010,,,,,,Direct,
I078,CIR001,CIR001,,,,,,Direct,
I050,CIR001,CIR001,,,,,,Direct,
I051,CIR001,CIR001,,,,,,Direct,
I081,CIR001,CIR001,,,,,,Direct,
I080,CIR001,CIR001,,,,,,Direct,
I070,CIR001,CIR001,,,,,,Direct,
I083,CIR001,CIR001,,,,,,Direct,
I071,CIR001,CIR001,,,,,,Direct,
I052,CIR001,CIR001,,,,,,Direct,
I061,CIR001,CIR001,,,,,,Direct,
I059,CIR001,CIR001,,,,,,Direct,
I060,CIR001,CIR001,,,,,,Direct,
I082,CIR001,CIR001,,,,,,Direct,
I058,CIR001,CIR001,,,,,,Direct,
I090,CIR001,CIR001,CIR005,,,,,Direct,
I099,CIR001,CIR001,CIR004,,,,,Direct,
I088,CIR001,CIR001,,,,,,Direct,
I019,CIR002,CIR002,CIR004,,,,,Direct,
I011,CIR002,CIR002,CIR004,,,,,Direct,
I00,CIR002,CIR002,INF003,,,,,Direct,
I029,CIR002,CIR002,INF003,,,,,Direct,
I350,CIR003,CIR003,,,,,,Direct,
I340,CIR003,CIR003,,,,,,Direct,
I341,CIR003,CIR003,,,,,,Direct,
I352,CIR003,CIR003,,,,,,Direct,
I351,CIR003,CIR003,,,,,,Direct,
I358,CIR003,CIR003,,,,,,Direct,
I359,CIR003,CIR003,,,,,,Direct,
I361,CIR003,CIR003,,,,,,Direct,
I368,CIR003,CIR003,,,,,,Direct,
I369,CIR003,CIR003,,,,,,Direct,
I370,CIR003,CIR003,,,,,,Direct,
I371,CIR003,CIR003,,,,,,Direct,
I372,CIR003,CIR003,,,,,,Direct,
I378,CIR003,CIR003,,,,,,Direct,
I342,CIR003,CIR003,,,,,,Direct,
I348,CIR003,CIR003,,,,,,Direct,
I330,CIR004,CIR004,,,,,,Direct,
I339,CIR004,CIR004,,,,,,Direct,
I38,CIR004,CIR004,,,,,,Direct,
I391,CIR004,CIR004,,,,,,Automatic,Parents
I392,CIR004,CIR004,,,,,,Automatic,Parents
I394,CIR004,CIR004,,,,,,Automatic,Parents
I398,CIR004,CIR004,,,,,,Automatic,Parents
I420,CIR005,CIR005,,,,,,Direct,
I428,CIR005,CIR005,,,,,,Direct,
I411,CIR005,CIR005,,,,,,Automatic,Parents
I418,CIR005,CIR005,,,,,,Automatic,Parents
I422,CIR005,CIR005,,,,,,Direct,
I400,CIR005,CIR005,,,,,,Direct,
I409,CIR005,CIR005,,,,,,Direct,
I424,CIR005,CIR005,,,,,,Direct,
I425,CIR005,CIR005,,,,,,Direct,
I429,CIR005,CIR005,,,,,,Direct,
I421,CIR005,CIR005,,,,,,Direct,
I423,CIR005,CIR005,,,,,,Direct,
I408,CIR005,CIR005,,,,,,Direct,
I426,CIR005,CIR005,MBD017,,,,,Direct,
I514,CIR005,CIR005,,,,,,Direct,
I401,CIR005,CIR005,,,,,,Direct,
I431,CIR005,CIR005,,,,,,Automatic,Parents
I319,CIR006,CIR006,,,,,,Direct,
I309,CIR006,CIR006,,,,,,Direct,
I313,CIR006,CIR006,,,,,,Direct,
I301,CIR006,CIR006,,,,,,Direct,
I300,CIR006,CIR006,,,,,,Direct,
I328,CIR006,CIR006,,,,,,Automatic,Parents
I318,CIR006,CIR006,,,,,,Direct,
I308,CIR006,CIR006,,,,,,Direct,
I320,CIR006,CIR006,,,,,,Automatic,Parents
I311,CIR006,CIR006,,,,,,Direct,
I312,CIR006,CIR006,,,,,,Direct,
I100,CIR007,CIR007,,,,,,Automatic,Parents
I101,CIR008,CIR008,,,,,,Manual,Parents
I674,CIR008,CIR008,NVS020,,,,,Direct,
I11,CIR008,CIR008,,,,,,Automatic,Children
I1580,CIR008,CIR008,,,,,,Automatic,Parents
I1520,CIR008,CIR008,,,,,,Automatic,Parents
I1500,CIR008,CIR008,,,,,,Automatic,Parents
I1510,CIR008,CIR008,,,,,,Automatic,Parents
I1590,CIR008,CIR008,,,,,,Automatic,Parents
I211,CIR009,CIR009,,,,,,Automatic,Children
I212,CIR009,CIR009,,,,,,Automatic,Children
I213,CIR009,CIR009,,,,,,Direct,
I214,CIR009,CIR009,,,,,,Direct,
I210,CIR009,CIR009,,,,,,Automatic,Children
I219,CIR009,CIR009,,,,,,Direct,
I221,CIR009,CIR009,,,,,,Direct,
I228,CIR009,CIR009,,,,,,Direct,
I229,CIR009,CIR009,,,,,,Direct,
I2381,CIR010,CIR010,,,,,,Automatic,Parents
I2382,CIR010,CIR010,,,,,,Automatic,Parents
I241,CIR010,CIR010,,,,,,Direct,
I2388,CIR010,CIR010,,,,,,Automatic,Parents
I230,CIR010,CIR010,,,,,,Direct,
I235,CIR010,CIR010,,,,,,Direct,
I232,CIR010,CIR010,,,,,,Direct,
I236,CIR010,CIR010,,,,,,Direct,
I200,CIR011,CIR011,,,,,,Direct,
I2510,CIR011,CIR011,,,,,,Direct,
I249,CIR011,CIR011,,,,,,Direct,
I2088,CIR011,CIR011,,,,,,Automatic,Parents
I209,CIR011,CIR011,,,,,,Direct,
I240,CIR011,CIR011,,,,,,Direct,
I248,CIR011,CIR011,,,,,,Direct,
I201,CIR011,CIR011,,,,,,Direct,
I2080,CIR011,CIR011,,,,,,Automatic,Parents
I255,CIR011,CIR005,CIR011,,,,,Direct,
I256,CIR011,CIR011,,,,,,Direct,
I2511,CIR011,CIR011,,,,,,Automatic,Children
I258,CIR011,CIR011,,,,,,Automatic,Children
I259,CIR011,CIR011,,,,,,Direct,
I2513,CIR011,CIR011,,,,,,Automatic,Siblings
I2514,CIR011,CIR011,,,,,,Automatic,Siblings
I2515,CIR011,CIR011,,,,,,Automatic,Siblings
I2519,CIR011,CIR011,,,,,,Automatic,Siblings
I250,CIR011,CIR011,,,,,,Semi-automatic,Close
R073,CIR012,CIR012,,,,,,Semi-automatic,Close
R074,CIR012,CIR012,,,,,,Semi-automatic,Close
R072,CIR012,CIR012,,,,,,Direct,
I269,CIR013,CIR013,,,,,,Automatic,Children
I260,CIR013,CIR013,,,,,,Automatic,Children
I272,CIR014,CIR014,,,,,,Direct,
I270,CIR014,CIR014,,,,,,Direct,
I281,CIR014,CIR014,,,,,,Direct,
I288,CIR014,CIR014,,,,,,Direct,
I278,CIR014,CIR014,,,,,,Automatic,Children
I279,CIR014,CIR014,,,,,,Direct,
I513,CIR015,CIR015,,,,,,Direct,
I517,CIR015,CIR015,,,,,,Direct,
I519,CIR015,CIR015,,,,,,Direct,
I510,CIR015,CIR015,,,,,,Direct,
I518,CIR015,CIR015,,,,,,Automatic,Children
I253,CIR015,CIR015,,,,,,Direct,
I512,CIR015,CIR015,,,,,,Direct,
I441,CIR016,CIR016,,,,,,Direct,
I443,CIR016,CIR016,,,,,,Automatic,Children
I442,CIR016,CIR016,,,,,,Direct,
I452,CIR016,CIR016,,,,,,Direct,
I447,CIR016,CIR016,,,,,,Direct,
I440,CIR016,CIR016,,,,,,Direct,
I453,CIR016,CIR016,,,,,,Direct,
I446,CIR016,CIR016,,,,,,Automatic,Children
I454,CIR016,CIR016,,,,,,Direct,
I451,CIR016,CIR016,,,,,,Automatic,Children
I458,CIR016,CIR016,,,,,,Automatic,Children
I459,CIR016,CIR016,,,,,,Direct,
I456,CIR016,CIR016,,,,,,Direct,
I455,CIR016,CIR016,,,,,,Direct,
I4800,CIR017,CIR017,,,,,,Automatic,Parents
I480,CIR017,CIR017,,,,,,Direct,
I4890,CIR017,CIR017,,,,,,Automatic,Siblings
I4891,CIR017,CIR017,,,,,,Direct,
I471,CIR017,CIR017,,,,,,Direct,
I4802,CIR017,CIR017,,,,,,Automatic,Parents
I4801,CIR017,CIR017,,,,,,Automatic,Parents
I472,CIR017,CIR017,,,,,,Direct,
I491,CIR017,CIR017,,,,,,Direct,
I492,CIR017,CIR017,,,,,,Direct,
I495,CIR017,CIR017,,,,,,Direct,
I493,CIR017,CIR017,,,,,,Direct,
I494,CIR017,CIR017,,,,,,Automatic,Children
I498,CIR017,CIR017,,,,,,Direct,
I499,CIR017,CIR017,,,,,,Direct,
I470,CIR017,CIR017,,,,,,Direct,
I479,CIR017,CIR017,,,,,,Direct,
I481,CIR017,CIR017,,,,,,Direct,
I484,CIR017,CIR017,,,,,,Direct,
I483,CIR017,CIR017,,,,,,Direct,
I460,CIR018,CIR018,,,,,,Automatic,Siblings
I469,CIR018,CIR018,,,,,,Direct,
I461,CIR018,CIR018,,,,,,Automatic,Siblings
I4901,CIR018,CIR018,,,,,,Direct,
I4900,CIR018,CIR018,,,,,,Automatic,Siblings
I500,CIR019,CIR019,,,,,,Automatic,Siblings
I509,CIR019,CIR019,,,,,,Direct,
I501,CIR019,CIR019,,,,,,Direct,
I635,CIR020,CIR020,,,,,,Automatic,Children
I632,CIR020,CIR020,,,,,,Automatic,Children
I633,CIR020,CIR020,,,,,,Automatic,Children
I639,CIR020,CIR020,,,,,,Direct,
I634,CIR020,CIR020,,,,,,Automatic,Children
I630,CIR020,CIR020,,,,,,Automatic,Children
I631,CIR020,CIR020,,,,,,Automatic,Children
I636,CIR020,CIR020,,,,,,Direct,
I638,CIR020,CIR020,,,,,,Direct,
I604,CIR021,CIR021,,,,,,Direct,
I606,CIR021,CIR021,,,,,,Direct,
I610,CIR021,CIR021,,,,,,Direct,
I629,CIR021,CIR021,,,,,,Direct,
I609,CIR021,CIR021,,,,,,Direct,
I619,CIR021,CIR021,,,,,,Direct,
I603,CIR021,CIR021,,,,,,Automatic,Children
I615,CIR021,CIR021,,,,,,Direct,
I620,CIR021,CIR021,,,,,,Automatic,Children
I605,CIR021,CIR021,,,,,,Automatic,Children
I616,CIR021,CIR021,,,,,,Direct,
I611,CIR021,CIR021,,,,,,Direct,
I621,CIR021,CIR021,,,,,,Direct,
I614,CIR021,CIR021,,,,,,Direct,
I613,CIR021,CIR021,,,,,,Direct,
I618,CIR021,CIR021,,,,,,Direct,
I601,CIR021,CIR021,,,,,,Automatic,Children
I602,CIR021,CIR021,,,,,,Direct,
I612,CIR021,CIR021,,,,,,Direct,
I600,CIR021,CIR021,,,,,,Automatic,Children
I607,CIR021,CIR021,,,,,,Direct,
I608,CIR021,CIR021,,,,,,Direct,
I652,CIR023,CIR023,,,,,,Automatic,Children
I669,CIR023,CIR023,,,,,,Direct,
I650,CIR023,CIR023,,,,,,Automatic,Children
I660,CIR023,CIR023,,,,,,Automatic,Children
I663,CIR023,CIR023,,,,,,Direct,
I668,CIR023,CIR023,,,,,,Direct,
I651,CIR023,CIR023,,,,,,Direct,
I653,CIR023,CIR023,,,,,,Automatic,Siblings
I662,CIR023,CIR023,,,,,,Automatic,Children
I659,CIR023,CIR023,,,,,,Direct,
I661,CIR023,CIR023,,,,,,Automatic,Children
I64,CIR024,CIR024,,,,,,Manual,Distant
I677,CIR024,CIR024,,,,,,Direct,
I678,CIR024,CIR024,,,,,,Automatic,Children
I671,CIR024,CIR024,,,,,,Direct,
I676,CIR024,CIR024,,,,,,Direct,
I672,CIR024,CIR024,,,,,,Direct,
I675,CIR024,CIR024,,,,,,Direct,
I680,CIR024,CIR024,,,,,,Direct,
I673,CIR024,CIR024,NVS020,,,,,Direct,
I682,CIR024,CIR024,,,,,,Direct,
I688,CIR024,CIR024,,,,,,Direct,
I679,CIR024,CIR024,,,,,,Direct,
I681,CIR024,CIR024,,,,,,Automatic,Siblings
I7020,CIR026,CIR026,,,,,,Automatic,Children
I7021,CIR026,CIR026,,,,,,Automatic,Children
I739,CIR026,CIR026,,,,,,Direct,
I700,CIR026,CIR026,,,,,,Direct,
I708,CIR026,CIR026,,,,,,Direct,
I738,CIR026,CIR026,,,,,,Automatic,Children
I730,CIR026,CIR026,,,,,,Automatic,Children
I701,CIR026,CIR026,,,,,,Direct,
I709,CIR026,CIR026,,,,,,Automatic,Children
I731,CIR026,CIR026,,,,,,Direct,
I710,CIR027,CIR027,,,,,,Automatic,Children
I254,CIR027,CIR027,,,,,,Semi-automatic,Close
I670,CIR027,CIR027,,,,,,Direct,
R02,CIR028,CIR028,,,,,,Manual,Siblings
J850,CIR028,CIR028,,,,,,Direct,
I720,CIR029,CIR029,,,,,,Direct,
I712,CIR029,CIR029,,,,,,Direct,
I714,CIR029,CIR029,,,,,,Direct,
I728,CIR029,CIR029,,,,,,Direct,
I722,CIR029,CIR029,,,,,,Direct,
I724,CIR029,CIR029,,,,,,Direct,
I716,CIR029,CIR029,,,,,,Direct,
I723,CIR029,CIR029,,,,,,Direct,
I721,CIR029,CIR029,,,,,,Direct,
I715,CIR029,CIR029,,,,,,Direct,
I719,CIR029,CIR029,,,,,,Direct,
I713,CIR029,CIR029,,,,,,Direct,
I726,CIR029,CIR029,,,,,,Direct,
I711,CIR029,CIR029,,,,,,Direct,
I725,CIR029,CIR029,,,,,,Direct,
I729,CIR029,CIR029,,,,,,Direct,
I718,CIR029,CIR029,,,,,,Direct,
I743,CIR030,CIR030,,,,,,Direct,
I740,CIR030,CIR030,,,,,,Automatic,Children
I748,CIR030,CIR030,,,,,,Direct,
I742,CIR030,CIR030,,,,,,Direct,
I741,CIR030,CIR030,,,,,,Automatic,Children
I749,CIR030,CIR030,,,,,,Direct,
I745,CIR030,CIR030,,,,,,Direct,
I744,CIR030,CIR030,,,,,,Direct,
I951,CIR031,CIR031,,,,,,Direct,
I959,CIR031,CIR031,,,,,,Direct,
I958,CIR031,CIR031,,,,,,Automatic,Children
I950,CIR031,CIR031,,,,,,Direct,
I792,CIR032,CIR032,,,,,,Semi-automatic,Close
I781,CIR032,CIR032,,,,,,Direct,
I776,CIR032,CIR032,CIR037,,,,,Direct,
I780,CIR032,CIR032,,,,,,Direct,
I778,CIR032,CIR032,,,,,,Automatic,Children
I788,CIR032,CIR032,,,,,,Direct,
I770,CIR032,CIR032,,,,,,Direct,
I779,CIR032,CIR032,,,,,,Direct,
I99,CIR032,CIR032,,,,,,Automatic,Children
I772,CIR032,CIR032,,,,,,Direct,
I771,CIR032,CIR032,,,,,,Direct,
I773,CIR032,CIR032,,,,,,Direct,
I774,CIR032,CIR032,,,,,,Direct,
I988,CIR032,CIR032,,,,,,Manual,Distant
I802,CIR033,CIR033,,,,,,Automatic,Children
I801,CIR033,CIR033,,,,,,Automatic,Children
I800,CIR033,CIR033,,,,,,Automatic,Children
I808,CIR033,CIR033,,,,,,Direct,
I822,CIR033,CIR033,,,,,,Automatic,Siblings
I823,CIR033,CIR033,,,,,,Direct,
I828,CIR033,CIR033,,,,,,Automatic,Siblings
I803,CIR033,CIR033,,,,,,Direct,
I820,CIR033,CIR033,,,,,,Direct,
I829,CIR033,CIR033,,,,,,Automatic,Siblings
I809,CIR033,CIR033,,,,,,Direct,
I81,CIR033,CIR033,,,,,,Direct,
I830,CIR035,CIR035,,,,,,Automatic,Children
I831,CIR035,CIR035,,,,,,Automatic,Children
I832,CIR035,CIR035,,,,,,Automatic,Children
I838,CIR035,CIR035,,,,,,Automatic,Children
I839,CIR035,CIR035,,,,,,Automatic,Children
I872,CIR036,CIR036,,,,,,Direct,
I871,CIR036,CIR036,,,,,,Direct,
I8700,CIR036,CIR036,,,,,,Automatic,Children
I8709,CIR036,CIR036,,,,,,Automatic,Children
I8702,CIR036,CIR036,,,,,,Automatic,Children
I8701,CIR036,CIR036,,,,,,Automatic,Children
I8708,CIR036,CIR036,,,,,,Semi-automatic,Distant
I971,CIR038,CIR038,,,,,,Automatic,Children
I970,CIR038,CIR038,,,,,,Direct,
I978,CIR038,CIR038,,,,,,Automatic,Children
I972,CIR038,CIR038,,,,,,Direct,
I878,CIR039,CIR039,,,,,,Direct,
I850,CIR039,CIR039,,,,,,Automatic,Children
I983,CIR039,CIR039,DIG021,,,,,Manual,Distant
I880,CIR039,CIR039,,,,,,Direct,
I889,CIR039,CIR039,,,,,,Direct,
I879,CIR039,CIR039,,,,,,Direct,
I888,CIR039,CIR039,,,,,,Direct,
I982,CIR039,CIR039,,,,,,Manual,Distant
I881,CIR039,CIR039,,,,,,Direct,
I890,CIR039,CIR039,,,,,,Direct,
I864,CIR039,CIR039,,,,,,Direct,
I859,CIR039,CIR039,DIG004,,,,,Automatic,Cousins
I868,CIR039,CIR036,CIR039,,,,,Direct,
I862,CIR039,CIR039,,,,,,Direct,
I898,CIR039,CIR039,,,,,,Direct,
I899,CIR039,CIR039,,,,,,Direct,
I891,CIR039,CIR039,,,,,,Direct,
A000,DIG001,DIG001,INF003,,,,,Direct,
A001,DIG001,DIG001,INF003,,,,,Direct,
A009,DIG001,DIG001,INF003,,,,,Direct,
A084,DIG001,DIG001,INF008,,,,,Direct,
A011,DIG001,DIG001,INF003,,,,,Direct,
A014,DIG001,DIG001,INF003,,,,,Direct,
A020,DIG001,DIG001,INF003,,,,,Direct,
A029,DIG001,DIG001,INF003,,,,,Direct,
A031,DIG001,DIG001,INF003,,,,,Direct,
A033,DIG001,DIG001,INF003,,,,,Direct,
A038,DIG001,DIG001,INF003,,,,,Direct,
A039,DIG001,DIG001,INF003,,,,,Direct,
A041,DIG001,DIG001,INF003,,,,,Direct,
A043,DIG001,DIG001,INF003,,,,,Direct,
A044,DIG001,DIG001,INF003,,,,,Direct,
A045,DIG001,DIG001,INF003,,,,,Direct,
A046,DIG001,DIG001,INF003,,,,,Direct,
A047,DIG001,DIG001,INF003,,,,,Direct,
A048,DIG001,DIG001,INF003,,,,,Direct,
A049,DIG001,DIG001,INF003,,,,,Direct,
A099,DIG001,DIG001,INF009,,,,,Automatic,Parents
A060,DIG001,DIG001,INF009,,,,,Direct,
A062,DIG001,DIG001,INF009,,,,,Direct,
A064,DIG001,DIG001,INF009,,,,,Direct,
A071,DIG001,DIG001,INF009,,,,,Direct,
A072,DIG001,DIG001,INF009,,,,,Direct,
A078,DIG001,DIG001,INF009,,,,,Direct,
A080,DIG001,DIG001,INF008,,,,,Direct,
A081,DIG001,DIG001,INF008,,,,,Automatic,Children
A083,DIG001,DIG001,INF008,,,,,Automatic,Children
A085,DIG001,DIG001,,,,,,Automatic,Siblings
A090,DIG001,DIG001,INF009,,,,,Automatic,Parents
K047,DIG002,DIG002,,,,,,Direct,
K0888,DIG002,DIG002,,,,,,Automatic,Siblings
K052,DIG002,DIG002,,,,,,Automatic,Children
K029,DIG002,DIG002,,,,,,Direct,
K074,DIG002,DIG002,,,,,,Semi-automatic,Distant
K068,DIG002,DIG002,,,,,,Direct,
K112,DIG003,DIG003,,,,,,Automatic,Children
B002,DIG003,DIG003,INF008,RSP006,,,,Direct,
B084,DIG003,DIG003,INF008,,,,,Direct,
K122,DIG003,DIG003,,,,,,Direct,
K102,DIG003,DIG003,,,,,,Automatic,Extended Family
K123,DIG003,DIG003,,,,,,Automatic,Children
A690,DIG003,DIG003,INF009,,,,,Direct,
K130,DIG003,DIG003,,,,,,Direct,
K137,DIG003,DIG003,,,,,,Automatic,Children
B370,DIG003,DIG003,INF004,,,,,Direct,
K108,DIG003,DIG003,,,,,,Automatic,Extended Family
K140,DIG003,DIG003,,,,,,Direct,
K121,DIG003,DIG003,,,,,,Direct,
K113,DIG003,DIG003,,,,,,Direct,
K115,DIG003,DIG003,,,,,,Direct,
K118,DIG003,DIG003,,,,,,Direct,
K120,DIG003,DIG003,,,,,,Direct,
K148,DIG003,DIG003,,,,,,Direct,
K116,DIG003,DIG003,,,,,,Direct,
K149,DIG003,DIG003,,,,,,Direct,
K226,DIG004,DIG004,,,,,,Direct,
K20,DIG004,DIG004,,,,,,Automatic,Children
K227,DIG004,DIG004,,,,,,Automatic,Children
K228,DIG004,DIG004,,,,,,Direct,
K2219,DIG004,DIG004,,,,,,Automatic,Siblings
K2214,DIG004,DIG004,,,,,,Automatic,Siblings
K2210,DIG004,DIG004,,,,,,Direct,
K222,DIG004,DIG004,,,,,,Direct,
K225,DIG004,DIG004,,,,,,Direct,
K2215,DIG004,DIG004,,,,,,Automatic,Siblings
K2216,DIG004,DIG004,,,,,,Automatic,Siblings
K220,DIG004,DIG004,,,,,,Direct,
K229,DIG004,DIG004,,,,,,Direct,
K2217,DIG004,DIG004,,,,,,Automatic,Siblings
K210,DIG004,DIG004,,,,,,Direct,
K224,DIG004,DIG004,,,,,,Direct,
K219,DIG004,DIG004,,,,,,Direct,
K2213,DIG004,DIG004,,,,,,Automatic,Siblings
K238,DIG004,DIG004,,,,,,Automatic,Parents
K259,DIG005,DIG005,,,,,,Direct,
K279,DIG005,DIG005,,,,,,Direct,
K269,DIG005,DIG005,,,,,,Direct,
K263,DIG005,DIG005,,,,,,Direct,
K253,DIG005,DIG005,,,,,,Direct,
K251,DIG005,DIG005,DIG006,,,,,Direct,
K255,DIG005,DIG005,DIG006,,,,,Direct,
K267,DIG005,DIG005,,,,,,Direct,
K261,DIG005,DIG005,DIG006,,,,,Direct,
K273,DIG005,DIG005,,,,,,Direct,
K277,DIG005,DIG005,,,,,,Direct,
K275,DIG005,DIG005,DIG006,,,,,Direct,
K271,DIG005,DIG005,DIG006,,,,,Direct,
K257,DIG005,DIG005,,,,,,Direct,
K265,DIG005,DIG005,DIG006,,,,,Direct,
K283,DIG005,DIG005,,,,,,Direct,
K289,DIG005,DIG005,,,,,,Direct,
K287,DIG005,DIG005,,,,,,Direct,
K631,DIG006,DIG006,,,,,,Direct,
K223,DIG006,DIG004,DIG006,,,,,Direct,
K822,DIG006,DIG006,DIG017,,,,,Direct,
K292,DIG007,DIG007,MBD017,,,,,Automatic,Children
K290,DIG007,DIG007,,,,,,Automatic,Children
K297,DIG007,DIG007,,,,,,Automatic,Children
K291,DIG007,DIG007,,,,,,Automatic,Cousins
K296,DIG007,DIG007,,,,,,Automatic,Children
K295,DIG007,DIG007,,,,,,Automatic,Children
K298,DIG007,DIG007,,,,,,Automatic,Children
K294,DIG007,DIG007,,,,,,Automatic,Children
K293,DIG007,DIG007,,,,,,Automatic,Children
K299,DIG007,DIG007,,,,,,Automatic,Children
K3180,DIG008,DIG008,,,,,,Automatic,Siblings
K30,DIG008,DIG008,,,,,,Direct,
K311,DIG008,DIG008,,,,,,Direct,
K3188,DIG008,DIG008,,,,,,Automatic,Siblings
K314,DIG008,DIG008,,,,,,Direct,
K3181,DIG008,CIR026,DIG008,,,,,Automatic,Children
K316,DIG008,DIG008,,,,,,Direct,
K319,DIG008,DIG008,,,,,,Direct,
K358,DIG009,DIG009,,,,,,Automatic,Children
K353,DIG009,DIG009,DIG016,,,,,Direct,
K36,DIG009,DIG009,,,,,,Direct,
K352,DIG009,DIG009,DIG016,,,,,Direct,
K381,DIG009,DIG009,,,,,,Direct,
K37,DIG009,DIG009,,,,,,Direct,
K388,DIG009,DIG009,,,,,,Direct,
K439,DIG010,DIG010,,,,,,Direct,
K449,DIG010,DIG010,,,,,,Direct,
